id,reviews,price,stars,yelp_category,state
395042892,10158,4.99,4.5,4.5,Health & Fitness
395096736,291,0,4,4,Travel
395148744,31,1.99,3,3,Weather
395545555,35981,0,4,4,Shopping
395627741,14493,0.99,4.5,4.5,Games
395680819,853,2.99,4,4,Entertainment
395893124,990,0,3,3,Entertainment
395898626,676,0,3,3,Entertainment
395979574,128739,0,4.5,4.5,Games
396082453,1556,2.99,4.5,4.5,Utilities
396085661,12331,4.99,4.5,4.5,Games
396224808,22,3.99,4.5,4.5,Education
396669943,6527,0.99,4,4,Games
396837225,13049,0.99,4.5,4.5,Games
396885309,3692,0,3.5,3.5,News
397049430,41446,2.99,4.5,4.5,Games
397533889,8221,0,4.5,4.5,Shopping
397836467,36190,0.99,4.5,4.5,Games
397951063,14491,0.99,4.5,4.5,Games
398129933,99244,0,4.5,4.5,Utilities
398166286,0,0,0,0,Social Networking
398329664,75714,0,4,4,Games
398348506,35161,0.99,4.5,4.5,Games
398436747,11875,0,4.5,4.5,Health & Fitness
398453262,122,0,2.5,2.5,Finance
398596699,1083,0,2,2,Lifestyle
398687544,1575,2.99,3.5,3.5,Games
398860966,24,1.99,3.5,3.5,Games
398954883,53,0,4,4,Weather
398975927,739,2.99,3.5,3.5,Games
399355755,100477,0,4,4,Lifestyle
399363156,718,0,4,4,News
399452287,16849,0,4.5,4.5,Reference
399608199,192,0,1.5,1.5,Finance
399804936,7,4.99,5,5,Education
400213892,1114,3.99,4.5,4.5,Games
400666114,1218,6.99,4,4,Music
400882072,9948,0.99,4.5,4.5,Games
400971700,528,0.99,4,4,Utilities
401301276,4675,4.99,4.5,4.5,Games
401626263,22302,0,4,4,Travel
401643317,3849,5.99,4,4,Productivity
401644893,233,0,4,4,News
401746066,1798,0,4.5,4.5,Travel
401818935,916,7.99,4.5,4.5,Business
402012828,2956,0.99,4.5,4.5,Utilities
402370879,21648,4.99,4,4,Games
402422247,5163,2.99,4.5,4.5,Reference
402614251,49,0.99,4.5,4.5,Entertainment
403037266,6081,0,4.5,4.5,Weather
403090531,4401,0.99,5,5,Games
403684733,2231,2.99,4.5,4.5,Social Networking
403858572,327025,0,4.5,4.5,Games
404086528,10463,4.99,4,4,Games
404095058,28672,1.99,4.5,4.5,Games
404299862,4716,3.99,4.5,4.5,Health & Fitness
404405151,6278,1.99,3.5,3.5,Games
404529222,0,0,0,0,Shopping
404553553,8304,2.99,4.5,4.5,Games
404593641,15984,0,3,3,Entertainment
404990064,5079,1.99,4.5,4.5,Education
405338085,2416,0,4.5,4.5,Music
405548206,36,0,4,4,Social Networking
405622181,8165,4.99,3.5,3.5,Games
405667771,7446,0,4,4,Entertainment
405743220,26419,0.99,4,4,Games
405891908,208,0.99,4,4,Entertainment
406239138,7565,3.99,3.5,3.5,Utilities
406541444,3040,1.99,4.5,4.5,Photo & Video
406719683,145549,0,4.5,4.5,Travel
406732590,835,4.99,4.5,4.5,Food & Drink
407262212,4262,1.99,4.5,4.5,Finance
407375789,219,1.99,4,4,Utilities
407558537,56110,0,4.5,4.5,Finance
407690035,32341,0,4.5,4.5,Travel
407707744,1419,4.99,4,4,Games
407838198,3303,2.99,4.5,4.5,Education
407925512,2058,0,4,4,Entertainment
407949800,990,7.99,4,4,Games
407976815,1986,2.99,4,4,Entertainment
408233979,8981,1.99,4.5,4.5,Games
408854559,554,4.99,4.5,4.5,Games
409128287,8176,0,5,5,News
409157308,53,4.99,2,2,Food & Drink
409299054,6,0.99,1,1,Photo & Video
409362880,8,0,3,3,Finance
409395695,467,0,4,4,Health & Fitness
409563112,2394,0,4,4,Entertainment
409605521,287,0.99,4.5,4.5,Health & Fitness
409838725,28189,0,4.5,4.5,Photo & Video
409869453,868,2.99,4.5,4.5,Navigation
409890132,4094,0.99,4.5,4.5,Games
410031728,3152,2.99,4.5,4.5,Entertainment
410089731,2950,2.99,4.5,4.5,Health & Fitness
410148139,3245,3.99,4,4,Weather
410229362,9341,0.99,4.5,4.5,Games
410315894,981,0,2.5,2.5,Education
410319945,735,0.99,4,4,Games
410351918,15116,2.99,4.5,4.5,Health & Fitness
410395246,39638,0,4.5,4.5,Productivity
410896080,7256,0,3,3,Entertainment
411206394,12590,1.99,4.5,4.5,Utilities
411430426,13258,2.99,4.5,4.5,Games
411608323,0,6.99,0,0,Reference
411711646,331,2.99,4.5,4.5,Reference
411766326,1777,0,3,3,Education
411843682,554,0.99,4.5,4.5,Photo & Video
411930498,7535,0,4,4,Sports
412223222,2622,0,3.5,3.5,Sports
412395632,2340,0,4,4,Entertainment
412403556,823,0,4.5,4.5,Entertainment
412792865,261,1.99,4,4,Sports
413246702,0,1.99,0,0,News
413423472,29739,0.99,4.5,4.5,Games
413487517,0,0,0,0,Navigation
413511993,1359,4.99,3,3,Weather
413515229,6001,6.99,4.5,4.5,Productivity
413618155,10,0,3,3,Food & Drink
413936865,4188,0,4.5,4.5,Education
413993350,89,0,4,4,Lifestyle
414002091,513,1.99,4,4,Photo & Video
414113282,1329,0,3,3,Finance
414245413,361,0,3.5,3.5,Shopping
414430589,3768,0,4,4,Entertainment
414478124,34584,0,4.5,4.5,Social Networking
414603431,745,0,3.5,3.5,Music
414706506,26786,0,3.5,3.5,Reference
414834813,1911,3.99,4,4,News
414835676,1393,1.99,4.5,4.5,Games
415069562,430,2.99,4.5,4.5,Games
415138546,193,1.99,4.5,4.5,Games
415468221,7,0.99,4.5,4.5,Utilities
415606289,84,0,4.5,4.5,Lifestyle
415842508,116,0,4,4,Lifestyle
415850124,4352,2.99,4.5,4.5,Photo & Video
416023011,126948,0,4.5,4.5,Utilities
416048305,6478,0,5,5,Photo & Video
416345444,31116,0,4,4,Entertainment
416457422,248,0,3,3,Utilities
416981420,3326,4.99,5,5,Health & Fitness
417200582,100,0,4.5,4.5,Shopping
417352269,102,0,4.5,4.5,Productivity
417373312,3662,0.99,4.5,4.5,Entertainment
417817520,219418,0.99,4.5,4.5,Games
417906074,2293,3.99,4.5,4.5,Weather
418075935,16979,0,4.5,4.5,Sports
418987775,110420,0,4.5,4.5,Music
419135449,4719,1.99,4,4,Lifestyle
419261235,157,0,5,5,Utilities
419411014,1537,0.99,4.5,4.5,Education
419724490,29,0,3.5,3.5,Food & Drink
419805549,2270,0,4.5,4.5,Utilities
420009108,1724546,0,4.5,4.5,Games
420635506,170843,0,4.5,4.5,Games
420636551,70122,0,4.5,4.5,Games
420859056,1887,4.99,3,3,Lifestyle
421167112,293857,0,4.5,4.5,Games
421168738,193,19.99,4.5,4.5,Sports
421254504,131695,0,4.5,4.5,Music
421547368,47506,0,3.5,3.5,Entertainment
421894356,2261,2.99,4.5,4.5,News
421988577,26,0.99,3,3,Games
421998342,56399,0,4,4,Entertainment
422366403,5987,0,2.5,2.5,Entertainment
422667065,414803,0,4.5,4.5,Games
422689480,135962,0,4,4,Productivity
422845617,0,1.99,0,0,Photo & Video
423084029,549,0,4.5,4.5,Lifestyle
423198259,10619,9.99,5,5,Games
423246594,13572,0,3,3,Sports
423443665,149,2.99,3.5,3.5,Reference
423492040,249,7.99,4.5,4.5,Productivity
423514795,152,0,2.5,2.5,Finance
423855879,1073,2.99,4,4,Games
424123969,9763,0.99,4.5,4.5,Games
424216726,60490,0,4,4,Lifestyle
424229589,2552,1.99,4.5,4.5,Games
424591347,1378,14.99,4.5,4.5,Games
424598114,38,0,3,3,Shopping
424881832,299,0,4.5,4.5,News
424912055,5362,3.99,4.5,4.5,Games
425073498,6109,5.99,4.5,4.5,Entertainment
425349261,4263,0,4.5,4.5,News
425996445,714,0.99,4,4,Photo & Video
426072035,3170,4.99,4,4,Games
426097375,936,0,4,4,Utilities
426170776,1341,0,4,4,Utilities
426282304,4934,4.99,4,4,Games
426382105,9649,2.99,4,4,Education
426414466,11,0,4,4,Shopping
426415634,2493,2.99,4,4,Games
426747278,1888,4.99,3.5,3.5,Games
427419772,923,4.99,4.5,4.5,Games
427457043,65,0,3.5,3.5,Shopping
427555239,115,0,2,2,Travel
427916203,10278,0,3.5,3.5,Travel
427941017,624,0,4,4,Social Networking
428845974,177501,0,4.5,4.5,Social Networking
428970841,500,0.99,4,4,Games
429009175,159735,0,4,4,Sports
429047995,1061624,0,4.5,4.5,Social Networking
429610587,98344,0,3.5,3.5,Entertainment
429775439,26278,0,3,3,Entertainment
429851711,35769,0,4.5,4.5,Utilities
429870273,540,9.99,4.5,4.5,Games
429885089,224,0,3.5,3.5,Music
430152294,11665,0,4,4,Entertainment
430200224,20951,4.99,4,4,Utilities
430229059,43,1.99,4.5,4.5,Productivity
430234732,125,16.99,4,4,Productivity
430616332,92,1.99,4.5,4.5,Book
430823968,857,16.99,4,4,Games
430856616,528,0.99,4,4,Photo & Video
430920838,626,2.99,4.5,4.5,Games
431023686,1026,0,4.5,4.5,Shopping
431033044,1403,1.99,4.5,4.5,Utilities
431065024,117,0.99,1,1,Social Networking
431229633,193,0.99,3.5,3.5,Games
431493086,896,7.99,4,4,Education
431865275,35,2.99,3,3,Navigation
431946152,183621,0,4.5,4.5,Games
432080204,616,4.99,4.5,4.5,Games
432274380,397,0,3,3,Social Networking
432278816,0,47.99,0,0,Reference
432455516,0,0,0,0,Sports
432504470,4866,2.99,4.5,4.5,Games
432749907,20355,2.99,4.5,4.5,Games
432771571,6,1.99,3.5,3.5,Reference
432791399,1855,3.99,4.5,4.5,Lifestyle
432849519,9741,4.99,4.5,4.5,Games
432850619,818,13.99,3.5,3.5,Music
433156786,458,0,3.5,3.5,Social Networking
433398108,6374,0.99,4.5,4.5,Photo & Video
433508740,7569,0,3.5,3.5,Finance
433592592,76392,0,4.5,4.5,Games
433596395,274,0.99,3.5,3.5,Games
433620759,35058,0,4.5,4.5,Games
433622275,78,0,4.5,4.5,Games
433671262,4748,2.99,5,5,Photo & Video
433847884,12162,1.99,4.5,4.5,Games
434209233,2333,0,4.5,4.5,Weather
434374726,150,0,4,4,Shopping
434826169,1006,2.99,4,4,Education
434832826,1839,0,4.5,4.5,Travel
434893913,2661,0,4,4,Utilities
435138734,8651,0,3.5,3.5,Education
435476174,460,4.99,4.5,4.5,Education
435693872,34,1.99,5,5,Productivity
435728260,32,0.99,3.5,3.5,Education
435871950,863,3.99,4.5,4.5,Travel
435883126,23,0.99,4,4,Education
435913585,2965,1.99,4.5,4.5,Photo & Video
436114747,3702,0.99,4.5,4.5,Photo & Video
436134867,5058,2.99,4.5,4.5,Games
436180275,0,4.99,0,0,Education
436491861,258624,0,5,5,Food & Drink
436555490,8632,2.99,4.5,4.5,Games
436577167,1478,14.99,3,3,Photo & Video
436672029,10647,0,4,4,Shopping
436957087,383,0,4.5,4.5,News
437025413,320,0,3.5,3.5,Entertainment
437314677,102,0,2,2,Photo & Video
437818260,8623,0,4.5,4.5,Business
438314348,14361,0.99,4.5,4.5,Games
438426078,1670,0,4.5,4.5,Entertainment
438475005,1153,4.99,4,4,Productivity
438865278,1103,0,3.5,3.5,Shopping
439176506,11,0.99,4.5,4.5,Business
439438619,8683,0,4,4,Photo & Video
439495358,44,0.99,4.5,4.5,Games
439628153,3523,3.99,4.5,4.5,Entertainment
439638720,527,0,4,4,Utilities
439852091,10368,4.99,5,5,Health & Fitness
439873467,187666,0,4.5,4.5,Games
440045374,503230,0,4.5,4.5,Games
440141669,4513,4.99,4,4,Games
440488550,125,4.99,3.5,3.5,Utilities
440677948,29,0,4.5,4.5,Food & Drink
440948110,668,0,4.5,4.5,Photo & Video
441179131,112,4.99,4.5,4.5,Entertainment
441216572,944,0,4,4,Utilities
441457218,34585,0,4.5,4.5,Photo & Video
441599491,406,0.99,4.5,4.5,Education
442012681,60163,0,4,4,Social Networking
442378070,415,4.99,4,4,Education
442522082,23766,6.99,4.5,4.5,Games
442705759,1595,2.99,4,4,Education
442839435,55950,0,4,4,Entertainment
443321291,644,1.99,5,5,Reference
443324720,0,2.99,0,0,Education
443354861,16729,0,4.5,4.5,Photo & Video
443369807,32499,0,4.5,4.5,Productivity
443637419,141224,0,4.5,4.5,Games
443646748,10386,2.99,4.5,4.5,Health & Fitness
443904275,11437,0,3.5,3.5,Social Networking
443926246,30,0,5,5,Travel
443932954,4021,0,4.5,4.5,Utilities
444062672,43,1.99,3.5,3.5,Weather
444553118,1685,9.99,2.5,2.5,Book
444553167,8324,0,4,4,Business
444745181,796,0.99,5,5,Lifestyle
444844790,86127,0.99,4.5,4.5,Games
444934666,9109,0,3,3,Social Networking
444947784,20988,0,4,4,Entertainment
445300213,0,3.99,0,0,Finance
445338486,1985,0,4.5,4.5,Social Networking
445375097,14844,0,4,4,Entertainment
445573854,65,0,3,3,Shopping
445791750,13106,0,4.5,4.5,Games
445850671,44,0,4,4,Finance
445996226,425,3.99,4.5,4.5,Productivity
446207961,1298,24.99,4.5,4.5,Medical
446324234,403,0,3.5,3.5,Games
446408493,309,0.99,4,4,Games
446760220,5180,13.99,4.5,4.5,Games
447024088,0,0,0,0,Navigation
447149103,18259,0.99,4.5,4.5,Games
447188370,323905,0,2.5,2.5,Photo & Video
447313708,51,0,4.5,4.5,Travel
447444215,1294,4.99,4.5,4.5,Business
447574907,5,0,3,3,Entertainment
447610616,9302,0.99,4.5,4.5,Games
447689011,153588,0.99,4.5,4.5,Games
